MeanRed,MeanGreen,MeanBlue,StdDevRed,StdDevGreen,StdDevBlue,SkewRed,SkewGreen,SkewBlue,KurRed,KurGreen,KurBlue,Class
230,240,233,70.44146506,42.35563717,64.06246951,-96.3001313,-58.28192114,-88.18624467,117.0479099,122.6649235,118.7240837,pubescent bamboo
232,240,234,67.07458535,43.68065934,61.53048025,-92.6818046,-60.8030015,-85.27335296,112.8905485,117.3473549,113.9995916,pubescent bamboo
225,237,229,77.07788269,45.97825573,68.8621812,-101.1046525,-60.59309938,-91.01642017,121.5317351,128.5299326,123.8472177,pubescent bamboo
224,236,227,76.09204952,45.48626166,68.11020482,-97.45490792,-58.31105181,-87.2907435,116.4154533,123.5647686,118.1842337,pubescent bamboo
225,236,228,75.33923281,48.48711169,68.6658576,-97.78228079,-63.4086976,-89.52531976,117.2098751,123.6820619,118.9597335,pubescent bamboo
228,239,231,72.07634841,43.02324953,64.45153218,-95.95064013,-57.55083092,-85.99725068,115.7149757,122.0564448,117.4320478,pubescent bamboo
220,233,223,81.0185164,49.87985565,73.79701891,-100.7371527,-62.08417287,-91.8146473,119.5576568,127.4871443,121.3627836,pubescent bamboo
215,232,220,85.30533395,49.1426495,76.51797175,-102.0856003,-59.30484752,-92.37707558,120.6619435,131.2774014,123.7265552,pubescent bamboo
215,233,219,86.64294547,48.50773134,78.08328887,-104.0275445,-59.0465973,-93.97962437,122.7922393,134.0700255,125.247144,pubescent bamboo
220,233,223,79.2527602,50.15974482,72.89032858,-97.78834649,-62.26422098,-90.20541558,116.0173747,123.9697088,117.8254197,pubescent bamboo
222,235,225,77.85884664,46.24932432,70.65408693,-97.84516714,-58.15190068,-88.92030909,116.4390925,124.2980451,118.2293199,pubescent bamboo
230,241,232,71.1758386,40.76763422,64.36614017,-97.30442497,-56.44511338,-88.02517358,118.1776037,124.3726981,119.2964418,pubescent bamboo
230,241,233,72.24264668,39.14077158,64.73020933,-99.35981032,-54.128182,-89.50789024,120.8750456,127.0357606,122.5462394,pubescent bamboo
214,235,221,87.52142595,41.79712909,73.52550578,-104.5948103,-50.17631089,-88.46154713,123.5196169,136.7140787,127.8372176,pubescent bamboo
213,231,217,86.31338251,49.74937186,78.14729682,-100.7747488,-58.59941214,-91.41815369,118.6139374,130.069149,121.0952276,pubescent bamboo
228,239,231,71.33722731,42.19004622,63.85922016,-94.94245823,-56.52618412,-85.32631202,114.5850321,120.9141214,116.2984374,pubescent bamboo
226,237,228,74.28997241,45.74931693,67.77905281,-96.78746821,-59.84543551,-88.217566,115.9725081,122.4482975,117.1386157,pubescent bamboo
220,234,223,79.51729372,47.65501023,71.88880302,-97.81416957,-59.02890473,-88.42327929,115.8489223,124.466989,117.6663426,pubescent bamboo
223,236,227,77.20751259,46.67976007,69.57729515,-98.50001288,-60.13119441,-89.51920564,117.7118652,125.459603,120.0714209,pubescent bamboo
216,235,222,84.10707461,42.91852747,72.47068373,-101.2474734,-52.01429587,-87.86519477,119.7791217,131.6241014,123.4528114,pubescent bamboo
216,233,220,82.3893197,47.38143096,74.09453421,-97.91395335,-57.01425723,-88.35975318,115.5854355,126.263701,118.0430135,pubescent bamboo
218,233,222,82.24962006,48.11444689,72.2564876,-100.223666,-58.82221691,-87.93762798,118.5830078,127.8670036,121.0192249,pubescent bamboo
221,235,225,79.38513715,46.4542786,70.46275612,-99.0344063,-58.11915654,-88.17981483,117.5785507,126.1144792,119.9868341,pubescent bamboo
227,239,230,73.85797181,41.79712909,65.87108622,-97.63186191,-55.54931634,-87.29743619,117.459801,124.4346849,119.189448,pubescent bamboo
208,232,216,91.92388155,45.19955752,77.76888838,-104.8081152,-52.18903094,-89.47654994,123.3915437,138.8639299,128.4115239,pubescent bamboo
208,233,216,91.03845341,42.01190308,74.81978348,-103.1359,-47.94191469,-84.77972957,121.4080118,137.5929923,126.4362947,pubescent bamboo
211,227,214,86.37129153,56.05354583,80.84553173,-98.60026552,-65.0903674,-92.66608583,116.0500752,126.2735343,117.9093644,pubescent bamboo
213,228,215,84.78797084,54.65345369,79.906195,-98.16579598,-63.74754059,-92.3974222,115.556278,125.0867468,116.7904344,pubescent bamboo
203,224,207,93.47192092,55.83905443,86.29020802,-101.0340701,-61.24838258,-93.5332986,119.0293549,132.7613967,121.5206625,pubescent bamboo
209,227,214,89.81091248,55.33534133,81.04936767,-102.1007911,-63.63554241,-92.77681867,120.1153009,131.6695286,123.2369709,pubescent bamboo
193,225,201,97.6012295,47.03190407,84.37416666,-96.09943401,-47.29809032,-83.14659341,115.1158916,136.6564985,120.0445574,chinese horse chestnut
185,222,194,105.6645636,50.20956084,91.85314366,-100.5635844,-49.10321157,-87.67289895,121.8166136,146.7916184,127.2561411,chinese horse chestnut
166,214,179,106.7005155,49.72926704,91.77145526,-77.09455972,-38.39409812,-67.98810346,111.0095246,141.619057,116.9789746,chinese horse chestnut
165,212,177,103.8508546,50.29910536,90.74690077,-69.44140464,-36.78226146,-62.94157681,106.7039684,135.812485,111.5870093,chinese horse chestnut
170,211,179,105,54.4334456,93.63759929,-79.91527489,-42.81459746,-71.73643347,110.3011355,136.3597074,114.4799121,chinese horse chestnut
160,215,176,107.3312629,45.96737974,89.39239341,-68.77600118,-32.8734054,-58.67774125,109.9587273,144.4946763,116.5891237,chinese horse chestnut
175,223,187,107.4662738,45.4202598,92.64448176,-91.54091554,-43.50424938,-81.40371532,117.2139159,149.6032843,123.889714,chinese horse chestnut
162,216,176,107.0747403,47.04253395,91.82592227,-71.60567613,-37.15107454,-64.1210275,110.1716354,144.4598826,116.0545003,chinese horse chestnut
160,220,178,109.8407939,41.90465368,88.99438185,-74.29327251,-32.54313798,-61.17774904,113.1648719,152.1525927,121.3827174,chinese horse chestnut
164,224,181,109.6631205,39.12799509,89.61026727,-80.37908625,-33.5028586,-67.94451934,114.4880281,154.441948,122.8877173,chinese horse chestnut
171,212,180,107.2567014,56.60388679,96.24448036,-85.59540437,-48.91070785,-78.00504022,114.2029696,140.6793894,118.6634137,chinese horse chestnut
179,217,189,104.3312034,53.07541804,91.01648202,-90.66458659,-48.34374198,-80.13622623,114.548316,139.7806947,120.1673652,chinese horse chestnut
183,227,195,102.2741414,41.18252056,86.08135687,-92.30080339,-39.7023743,-79.03603547,114.638101,144.516875,121.7203441,chinese horse chestnut
162,213,176,106.8690788,48.31148932,90.58697478,-71.28891073,-33.54734525,-60.7412673,109.7328361,141.7644465,115.6277813,chinese horse chestnut
153,214,172,107.9305332,44.27188724,88.76373133,-54.45770082,-27.36584801,-49.33684335,109.1837971,146.0545992,115.7870871,chinese horse chestnut
163,228,183,112.1873433,35.83294573,88.57200461,-84.16586652,-32.38245506,-68.85378265,117.7287284,161.7206223,128.2057196,chinese horse chestnut
161,209,172,105.2045626,53.06599665,93,-65.47603187,-38.46384417,-59.14224035,107.5045781,136.3479294,111.3931516,chinese horse chestnut
162,217,178,106.3108649,45.23273151,88.76373133,-69.72902038,-34.75612783,-60.72246942,109.0784124,144.0136812,115.9387442,chinese horse chestnut
166,215,179,109.3343496,49.88987873,94.16474924,-82.39350814,-40.206639,-73.040323,114.5859844,146.443023,120.8970092,chinese horse chestnut
170,226,188,108.7520115,38.05259518,86.72369918,-87.28330598,-33.31831546,-71.80321781,116.3402613,154.1075582,126.2627016,chinese horse chestnut
