Asp Ratio,Form Factor,Narrow Factor,Rect,PRD,PRLW,MeanRed,MeanGreen,MeanBlue,StdDevRed,StdDevGreen,StdDevBlue,SkewRed,SkewGreen,SkewBlue,ASM,Contrast,Entropy,Homogeneity,Correlation,Class
10.76907177,0.018877349,1.019752767,0.396700129,3.453140883,3.222146257,230,240,233,70.44146506,42.35563717,64.06246951,-96.3001313,-58.28192114,-88.18624467,0.010557372,94.92436158,12.06804434,0.511447302,1.89E-05,pubescent bamboo
7.297582955,0.025591429,1.120402173,0.439170131,3.116541165,3.070960622,232,240,234,67.07458535,43.68065934,61.53048025,-92.6818046,-60.8030015,-85.27335296,0.012192057,74.8902229,11.94921448,0.551726212,1.82E-05,pubescent bamboo
10.16696316,0.015916852,0.995325121,0.425123542,3.830480347,3.471157902,225,237,229,77.07788269,45.97825573,68.8621812,-101.1046525,-60.59309938,-91.01642017,0.010030924,94.54649711,12.25816824,0.489018177,1.93E-05,pubescent bamboo
8.2698936,0.019181482,0.953527333,0.437671501,3.980170534,3.385789855,224,236,227,76.09204952,45.48626166,68.11020482,-97.45490792,-58.31105181,-87.2907435,0.012667568,69.90899079,11.82832451,0.515380998,1.77E-05,pubescent bamboo
9.635689692,0.01691886,1.030510126,0.432172631,3.6558819,3.413198682,225,236,228,75.33923281,48.48711169,68.6658576,-97.78228079,-63.4086976,-89.52531976,0.010194314,88.75650165,12.14640435,0.493908438,1.89E-05,pubescent bamboo
6.391567644,0.025916011,1.099442928,0.492669189,3.183917709,3.026950775,228,239,231,72.07634841,43.02324953,64.45153218,-95.95064013,-57.55083092,-85.99725068,0.012007026,105.15517,12.02782102,0.452739652,1.76E-05,pubescent bamboo
5.172962641,0.027639392,0.891220573,0.482562783,4.271731704,3.190324539,220,233,223,81.0185164,49.87985565,73.79701891,-100.7371527,-62.08417287,-91.8146473,0.01324786,60.98224632,11.6116328,0.539260019,1.88E-05,pubescent bamboo
5.09676613,0.034977969,1.004312345,0.463173439,3.465091671,2.909234304,215,232,220,85.30533395,49.1426495,76.51797175,-102.0856003,-59.30484752,-92.37707558,0.010797227,65.35558987,11.96787962,0.500225187,1.80E-05,pubescent bamboo
5.090256339,0.032738011,0.846996846,0.471858427,4.210332322,2.98059007,215,233,219,86.64294547,48.50773134,78.08328887,-104.0275445,-59.0465973,-93.97962437,0.009065527,85.07779689,12.18813241,0.482236082,1.83E-05,pubescent bamboo
6.658752304,0.021654256,1.036729094,0.472972043,3.693591905,3.329270113,220,233,223,79.2527602,50.15974482,72.89032858,-97.78834649,-62.26422098,-90.20541558,0.014272709,69.21231027,11.59022438,0.543539213,1.81E-05,pubescent bamboo
6.32787289,0.024626687,1.022084557,0.457345166,3.66487574,3.234639607,222,235,225,77.85884664,46.24932432,70.65408693,-97.84516714,-58.15190068,-88.92030909,0.013832391,64.88151926,11.63598754,0.536966948,1.77E-05,pubescent bamboo
11.37172555,0.016478501,1.156100236,0.422222433,3.075118245,3.267784454,230,241,232,71.1758386,40.76763422,64.36614017,-97.30442497,-56.44511338,-88.02517358,0.007715655,85.6627265,12.60965927,0.504338015,1.78E-05,pubescent bamboo
10.17621433,0.019297048,1.117523161,0.425881744,3.094285612,3.148534486,230,241,233,72.24264668,39.14077158,64.73020933,-99.35981032,-54.128182,-89.50789024,0.007966244,93.93878497,12.52672276,0.47349073,1.83E-05,pubescent bamboo
5.971035083,0.024062967,0.982566942,0.453452936,3.987239698,3.355728741,214,235,221,87.52142595,41.79712909,73.52550578,-104.5948103,-50.17631089,-88.46154713,0.009455619,68.61507666,12.12886716,0.473724913,1.59E-05,pubescent bamboo
5.640164755,0.026302644,0.897849624,0.482914212,4.161173274,3.173454975,213,231,217,86.31338251,49.74937186,78.14729682,-100.7747488,-58.59941214,-91.41815369,0.016406539,43.53722149,11.24975808,0.611394509,1.75E-05,pubescent bamboo
9.828029683,0.019181189,1.045355016,0.412674034,3.429743367,3.254186615,228,239,231,71.33722731,42.19004622,63.85922016,-94.94245823,-56.52618412,-85.32631202,0.011411487,65.89378659,11.82196846,0.567744305,1.74E-05,pubescent bamboo
8.75738032,0.020969012,0.980219942,0.417250507,3.68554688,3.242398959,226,237,228,74.28997241,45.74931693,67.77905281,-96.78746821,-59.84543551,-88.217566,0.012891702,67.30897459,11.70396707,0.553702909,1.82E-05,pubescent bamboo
5.481828851,0.02546141,0.928826087,0.479087429,4.163458531,3.270518126,220,234,223,79.51729372,47.65501023,71.88880302,-97.81416957,-59.02890473,-88.42327929,0.008484421,89.76923053,12.42408082,0.457564618,1.75E-05,pubescent bamboo
8.151113413,0.017089501,0.945027949,0.470473733,4.133467219,3.479382292,223,236,227,77.20751259,46.67976007,69.57729515,-98.50001288,-60.13119441,-89.51920564,0.010684005,75.33567192,12.06922794,0.497818776,1.79E-05,pubescent bamboo
