MeanRed,MeanGreen,MeanBlue,StdDevRed,StdDevGreen,StdDevBlue,SkewRed,SkewGreen,SkewBlue,ASM,Contrast,Entropy,Homogeneity,Correlation,Class
230,240,233,70.44146506,42.35563717,64.06246951,-96.3001313,-58.28192114,-88.18624467,0.010557372,94.92436158,12.06804434,0.511447302,1.89E-05,pubescent bamboo
232,240,234,67.07458535,43.68065934,61.53048025,-92.6818046,-60.8030015,-85.27335296,0.012192057,74.8902229,11.94921448,0.551726212,1.82E-05,pubescent bamboo
225,237,229,77.07788269,45.97825573,68.8621812,-101.1046525,-60.59309938,-91.01642017,0.010030924,94.54649711,12.25816824,0.489018177,1.93E-05,pubescent bamboo
224,236,227,76.09204952,45.48626166,68.11020482,-97.45490792,-58.31105181,-87.2907435,0.012667568,69.90899079,11.82832451,0.515380998,1.77E-05,pubescent bamboo
225,236,228,75.33923281,48.48711169,68.6658576,-97.78228079,-63.4086976,-89.52531976,0.010194314,88.75650165,12.14640435,0.493908438,1.89E-05,pubescent bamboo
228,239,231,72.07634841,43.02324953,64.45153218,-95.95064013,-57.55083092,-85.99725068,0.012007026,105.15517,12.02782102,0.452739652,1.76E-05,pubescent bamboo
220,233,223,81.0185164,49.87985565,73.79701891,-100.7371527,-62.08417287,-91.8146473,0.01324786,60.98224632,11.6116328,0.539260019,1.88E-05,pubescent bamboo
215,232,220,85.30533395,49.1426495,76.51797175,-102.0856003,-59.30484752,-92.37707558,0.010797227,65.35558987,11.96787962,0.500225187,1.80E-05,pubescent bamboo
215,233,219,86.64294547,48.50773134,78.08328887,-104.0275445,-59.0465973,-93.97962437,0.009065527,85.07779689,12.18813241,0.482236082,1.83E-05,pubescent bamboo
220,233,223,79.2527602,50.15974482,72.89032858,-97.78834649,-62.26422098,-90.20541558,0.014272709,69.21231027,11.59022438,0.543539213,1.81E-05,pubescent bamboo
222,235,225,77.85884664,46.24932432,70.65408693,-97.84516714,-58.15190068,-88.92030909,0.013832391,64.88151926,11.63598754,0.536966948,1.77E-05,pubescent bamboo
230,241,232,71.1758386,40.76763422,64.36614017,-97.30442497,-56.44511338,-88.02517358,0.007715655,85.6627265,12.60965927,0.504338015,1.78E-05,pubescent bamboo
230,241,233,72.24264668,39.14077158,64.73020933,-99.35981032,-54.128182,-89.50789024,0.007966244,93.93878497,12.52672276,0.47349073,1.83E-05,pubescent bamboo
214,235,221,87.52142595,41.79712909,73.52550578,-104.5948103,-50.17631089,-88.46154713,0.009455619,68.61507666,12.12886716,0.473724913,1.59E-05,pubescent bamboo
213,231,217,86.31338251,49.74937186,78.14729682,-100.7747488,-58.59941214,-91.41815369,0.016406539,43.53722149,11.24975808,0.611394509,1.75E-05,pubescent bamboo
228,239,231,71.33722731,42.19004622,63.85922016,-94.94245823,-56.52618412,-85.32631202,0.011411487,65.89378659,11.82196846,0.567744305,1.74E-05,pubescent bamboo
226,237,228,74.28997241,45.74931693,67.77905281,-96.78746821,-59.84543551,-88.217566,0.012891702,67.30897459,11.70396707,0.553702909,1.82E-05,pubescent bamboo
220,234,223,79.51729372,47.65501023,71.88880302,-97.81416957,-59.02890473,-88.42327929,0.008484421,89.76923053,12.42408082,0.457564618,1.75E-05,pubescent bamboo
223,236,227,77.20751259,46.67976007,69.57729515,-98.50001288,-60.13119441,-89.51920564,0.010684005,75.33567192,12.06922794,0.497818776,1.79E-05,pubescent bamboo
216,235,222,84.10707461,42.91852747,72.47068373,-101.2474734,-52.01429587,-87.86519477,0.013692799,42.60493189,11.4991751,0.594196862,1.62E-05,pubescent bamboo
216,233,220,82.3893197,47.38143096,74.09453421,-97.91395335,-57.01425723,-88.35975318,0.011616021,83.5488963,11.92017553,0.478240455,1.70E-05,pubescent bamboo
218,233,222,82.24962006,48.11444689,72.2564876,-100.223666,-58.82221691,-87.93762798,0.013372387,60.79270551,11.81385546,0.541832227,1.74E-05,pubescent bamboo
221,235,225,79.38513715,46.4542786,70.46275612,-99.0344063,-58.11915654,-88.17981483,0.0143104,68.39599187,11.58596197,0.505369839,1.74E-05,pubescent bamboo
227,239,230,73.85797181,41.79712909,65.87108622,-97.63186191,-55.54931634,-87.29743619,0.010560572,94.90007012,12.21259764,0.485631436,1.75E-05,pubescent bamboo
208,232,216,91.92388155,45.19955752,77.76888838,-104.8081152,-52.18903094,-89.47654994,0.012303007,46.79128463,11.62018876,0.574573547,1.61E-05,pubescent bamboo
208,233,216,91.03845341,42.01190308,74.81978348,-103.1359,-47.94191469,-84.77972957,0.008678185,83.1116064,12.27236563,0.42457107,1.52E-05,pubescent bamboo
211,227,214,86.37129153,56.05354583,80.84553173,-98.60026552,-65.0903674,-92.66608583,0.008915648,63.31172944,12.38960104,0.554274487,1.86E-05,pubescent bamboo
213,228,215,84.78797084,54.65345369,79.906195,-98.16579598,-63.74754059,-92.3974222,0.013230552,64.64132843,11.75223683,0.56192606,1.89E-05,pubescent bamboo
203,224,207,93.47192092,55.83905443,86.29020802,-101.0340701,-61.24838258,-93.5332986,0.009039343,55.27017025,12.20357269,0.535396925,1.85E-05,pubescent bamboo
209,227,214,89.81091248,55.33534133,81.04936767,-102.1007911,-63.63554241,-92.77681867,0.012169294,46.44118554,11.71890491,0.566773343,1.88E-05,pubescent bamboo
193,225,201,97.6012295,47.03190407,84.37416666,-96.09943401,-47.29809032,-83.14659341,0.016773159,24.83467598,10.98503956,0.768558214,1.53E-05,chinese horse chestnut
185,222,194,105.6645636,50.20956084,91.85314366,-100.5635844,-49.10321157,-87.67289895,0.011558974,49.39747279,11.70414588,0.527489489,1.64E-05,chinese horse chestnut
166,214,179,106.7005155,49.72926704,91.77145526,-77.09455972,-38.39409812,-67.98810346,0.015309693,32.93501075,11.07701663,0.625081094,1.52E-05,chinese horse chestnut
165,212,177,103.8508546,50.29910536,90.74690077,-69.44140464,-36.78226146,-62.94157681,0.014137499,38.99330106,11.30948685,0.588660995,1.50E-05,chinese horse chestnut
170,211,179,105,54.4334456,93.63759929,-79.91527489,-42.81459746,-71.73643347,0.012317424,37.83026297,11.46462776,0.607874934,1.61E-05,chinese horse chestnut
160,215,176,107.3312629,45.96737974,89.39239341,-68.77600118,-32.8734054,-58.67774125,0.013680286,40.33107329,11.37828599,0.577937743,1.44E-05,chinese horse chestnut
175,223,187,107.4662738,45.4202598,92.64448176,-91.54091554,-43.50424938,-81.40371532,0.006476201,48.7164703,12.65980118,0.504355621,1.48E-05,chinese horse chestnut
162,216,176,107.0747403,47.04253395,91.82592227,-71.60567613,-37.15107454,-64.1210275,0.01170058,37.8681226,11.62997816,0.570146097,1.46E-05,chinese horse chestnut
160,220,178,109.8407939,41.90465368,88.99438185,-74.29327251,-32.54313798,-61.17774904,0.013269052,37.32410966,11.35836576,0.578839593,1.40E-05,chinese horse chestnut
164,224,181,109.6631205,39.12799509,89.61026727,-80.37908625,-33.5028586,-67.94451934,0.008974201,35.7001176,11.93842085,0.572425148,1.36E-05,chinese horse chestnut
171,212,180,107.2567014,56.60388679,96.24448036,-85.59540437,-48.91070785,-78.00504022,0.011373997,33.67904707,11.71454237,0.596366952,1.67E-05,chinese horse chestnut
179,217,189,104.3312034,53.07541804,91.01648202,-90.66458659,-48.34374198,-80.13622623,0.012033902,41.2901079,11.6070999,0.571678229,1.61E-05,chinese horse chestnut
