ASM,Contrast,Entropy,Homogeneity,Correlation,Asp Ratio,Form Factor,Narrow Factor,Rect,PRD,PRLW,Class
0.010557372,94.92436158,12.06804434,0.511447302,1.89E-05,10.76907177,0.018877349,1.019752767,0.396700129,3.453140883,3.222146257,pubescent bamboo
0.012192057,74.8902229,11.94921448,0.551726212,1.82E-05,7.297582955,0.025591429,1.120402173,0.439170131,3.116541165,3.070960622,pubescent bamboo
0.010030924,94.54649711,12.25816824,0.489018177,1.93E-05,10.16696316,0.015916852,0.995325121,0.425123542,3.830480347,3.471157902,pubescent bamboo
0.012667568,69.90899079,11.82832451,0.515380998,1.77E-05,8.2698936,0.019181482,0.953527333,0.437671501,3.980170534,3.385789855,pubescent bamboo
0.010194314,88.75650165,12.14640435,0.493908438,1.89E-05,9.635689692,0.01691886,1.030510126,0.432172631,3.6558819,3.413198682,pubescent bamboo
0.012007026,105.15517,12.02782102,0.452739652,1.76E-05,6.391567644,0.025916011,1.099442928,0.492669189,3.183917709,3.026950775,pubescent bamboo
0.01324786,60.98224632,11.6116328,0.539260019,1.88E-05,5.172962641,0.027639392,0.891220573,0.482562783,4.271731704,3.190324539,pubescent bamboo
0.010797227,65.35558987,11.96787962,0.500225187,1.80E-05,5.09676613,0.034977969,1.004312345,0.463173439,3.465091671,2.909234304,pubescent bamboo
0.009065527,85.07779689,12.18813241,0.482236082,1.83E-05,5.090256339,0.032738011,0.846996846,0.471858427,4.210332322,2.98059007,pubescent bamboo
0.014272709,69.21231027,11.59022438,0.543539213,1.81E-05,6.658752304,0.021654256,1.036729094,0.472972043,3.693591905,3.329270113,pubescent bamboo
0.013832391,64.88151926,11.63598754,0.536966948,1.77E-05,6.32787289,0.024626687,1.022084557,0.457345166,3.66487574,3.234639607,pubescent bamboo
0.007715655,85.6627265,12.60965927,0.504338015,1.78E-05,11.37172555,0.016478501,1.156100236,0.422222433,3.075118245,3.267784454,pubescent bamboo
0.007966244,93.93878497,12.52672276,0.47349073,1.83E-05,10.17621433,0.019297048,1.117523161,0.425881744,3.094285612,3.148534486,pubescent bamboo
0.009455619,68.61507666,12.12886716,0.473724913,1.59E-05,5.971035083,0.024062967,0.982566942,0.453452936,3.987239698,3.355728741,pubescent bamboo
0.016406539,43.53722149,11.24975808,0.611394509,1.75E-05,5.640164755,0.026302644,0.897849624,0.482914212,4.161173274,3.173454975,pubescent bamboo
0.011411487,65.89378659,11.82196846,0.567744305,1.74E-05,9.828029683,0.019181189,1.045355016,0.412674034,3.429743367,3.254186615,pubescent bamboo
0.012891702,67.30897459,11.70396707,0.553702909,1.82E-05,8.75738032,0.020969012,0.980219942,0.417250507,3.68554688,3.242398959,pubescent bamboo
