ASM,Contrast,Entropy,Homogeneity,Correlation,Asp Ratio,Form Factor,Narrow Factor,Rect,PRD,PRLW,Class
3.16546385,10.48255108,0.794305083,1.835618281,8.23E-06,10.76907177,0.018877349,1.019752767,0.396700129,3.453140883,3.222146257,pubescent bamboo
3.165324333,8.271848415,0.781575067,1.840033842,8.21E-06,7.297582955,0.025591429,1.120402173,0.439170131,3.116541165,3.070960622,pubescent bamboo
3.031593237,12.23909925,1.150671194,1.804402521,8.34E-06,10.16696316,0.015916852,0.995325121,0.425123542,3.830480347,3.471157902,pubescent bamboo
2.935177492,10.02635008,1.331193969,1.787075887,8.37E-06,8.2698936,0.019181482,0.953527333,0.437671501,3.980170534,3.385789855,pubescent bamboo
2.97195047,12.25380108,1.28489749,1.792067667,8.37E-06,9.635689692,0.01691886,1.030510126,0.432172631,3.6558819,3.413198682,pubescent bamboo
3.05737215,13.22431505,1.057157767,1.805416526,8.28E-06,6.391567644,0.025916011,1.099442928,0.492669189,3.183917709,3.026950775,pubescent bamboo
2.82242059,9.760052127,1.573487605,1.766212312,8.49E-06,5.172962641,0.027639392,0.891220573,0.482562783,4.271731704,3.190324539,pubescent bamboo
2.699188422,11.67198916,1.937158676,1.732152133,8.57E-06,5.09676613,0.034977969,1.004312345,0.463173439,3.465091671,2.909234304,pubescent bamboo
2.707548366,15.08529921,1.955197388,1.730882514,8.57E-06,5.090256339,0.032738011,0.846996846,0.471858427,4.210332322,2.98059007,pubescent bamboo
2.784158518,11.47324646,1.663035195,1.758564141,8.50E-06,6.658752304,0.021654256,1.036729094,0.472972043,3.693591905,3.329270113,pubescent bamboo
2.865697976,9.967721018,1.472220731,1.775234836,8.42E-06,6.32787289,0.024626687,1.022084557,0.457345166,3.66487574,3.234639607,pubescent bamboo
3.141058042,9.753780234,0.916352403,1.829700047,8.22E-06,11.37172555,0.016478501,1.156100236,0.422222433,3.075118245,3.267784454,pubescent bamboo
3.182686442,10.14621143,0.801096939,1.835123631,8.20E-06,10.17621433,0.019297048,1.117523161,0.425881744,3.094285612,3.148534486,pubescent bamboo
2.673236691,12.52543474,2.03131526,1.721383988,8.49E-06,5.971035083,0.024062967,0.982566942,0.453452936,3.987239698,3.355728741,pubescent bamboo
