ASM,Contrast,Entropy,Homogeneity,Correlation,Class
2.550220907,9.18116764,0.715633206,1.908747264,9.06E-06,pubescent bamboo
1.906314501,9.396716013,0.949592294,1.922072087,8.71E-06,pubescent bamboo
1.615712613,11.84159508,2.54453591,1.771711097,9.35E-06,pubescent bamboo
1.852254892,12.50496247,2.166519375,1.801674694,9.34E-06,pubescent bamboo
2.049521256,8.682698082,1.815086534,1.828250207,9.28E-06,pubescent bamboo
1.740684553,10.70935988,2.114731514,1.812516,9.20E-06,pubescent bamboo
1.787410511,11.50260217,2.09955379,1.809531661,9.24E-06,pubescent bamboo
1.878551002,9.383796914,1.887104991,1.831592811,9.18E-06,pubescent bamboo
2.188285407,10.31979358,2.048634944,1.791255547,9.52E-06,pubescent bamboo
2.086184191,12.06913053,2.350958781,1.762960637,9.58E-06,pubescent bamboo
0.699558934,16.1938553,5.982681287,1.428144639,1.03E-05,chinese horse chestnut
0.719950314,17.6031839,6.037083312,1.41033984,1.06E-05,chinese horse chestnut
0.820260302,19.02623853,5.610080013,1.447165126,1.01E-05,chinese horse chestnut
0.774366126,14.12645329,5.738561149,1.458673106,9.78E-06,chinese horse chestnut
0.673869878,15.63259591,6.343822188,1.363763738,1.05E-05,chinese horse chestnut
0.716948578,16.82459341,6.061403356,1.415063807,1.02E-05,chinese horse chestnut
0.729867456,21.32211218,6.149193667,1.411548807,1.03E-05,chinese horse chestnut
0.898900446,10.13008966,5.409256119,1.513904821,9.85E-06,chinese horse chestnut
0.831471981,13.40761051,5.317778712,1.493209254,9.86E-06,chinese horse chestnut
0.981508718,16.29231234,4.916577192,1.54062501,9.68E-06,chinese horse chestnut
0.675896098,16.04492702,6.313992265,1.373990121,1.01E-05,chinese redbud
0.590441588,26.3556839,6.840324287,1.325722877,1.02E-05,chinese redbud
0.576388365,35.05183695,7.243374524,1.276496628,1.05E-05,chinese redbud
0.82387495,24.34812969,5.926608501,1.410465712,9.69E-06,chinese redbud
0.523823738,24.51485405,7.223758963,1.275475366,1.02E-05,chinese redbud
0.74110928,19.77023978,6.341881015,1.365904849,1.02E-05,chinese redbud
0.772590649,13.69282319,5.8636673,1.424025544,9.91E-06,chinese redbud
