ASM,Contrast,Entropy,Homogeneity,Correlation,Class
1.598255738,11.63778565,2.001986092,1.834988104,8.93E-06,pubescent bamboo
1.603663689,9.345786072,1.937121518,1.842161023,8.90E-06,pubescent bamboo
1.776747312,13.44625521,2.190934792,1.803419714,9.27E-06,pubescent bamboo
1.614246533,11.31540033,2.405491965,1.787201844,9.22E-06,pubescent bamboo
2.474185164,13.39925771,1.77192598,1.793574801,9.61E-06,pubescent bamboo
1.587378456,13.63324124,2.18578426,1.80783282,9.04E-06,pubescent bamboo
1.418811305,10.81522936,2.691463664,1.767033698,9.12E-06,pubescent bamboo
1.354090386,12.8001814,3.045280242,1.732352039,9.22E-06,pubescent bamboo
1.467618373,16.09435571,3.018622239,1.729496426,9.02E-06,pubescent bamboo
1.535749851,12.61484153,2.668298689,1.761073678,9.35E-06,pubescent bamboo
1.78185332,10.61809529,2.397788915,1.776445665,9.40E-06,pubescent bamboo
1.724509591,11.10285029,2.030591582,1.829047267,9.07E-06,pubescent bamboo
1.608279598,11.44921393,2.022155311,1.833564209,8.91E-06,pubescent bamboo
1.437827141,13.9222206,3.075669844,1.721204166,9.30E-06,pubescent bamboo
1.484139733,9.876405338,3.059846159,1.726636286,9.54E-06,pubescent bamboo
1.663317625,9.440775646,2.101657883,1.823333749,9.09E-06,pubescent bamboo
1.562269071,10.34578399,2.313269535,1.803884778,9.13E-06,pubescent bamboo
1.413284957,15.90497915,2.921952595,1.744154442,9.19E-06,pubescent bamboo
1.725321307,12.40843411,2.389567722,1.781660246,9.32E-06,pubescent bamboo
1.861788509,8.857379066,2.618597137,1.750499945,9.53E-06,pubescent bamboo
1.626668069,16.20010217,2.930293292,1.721236624,9.50E-06,pubescent bamboo
1.729514161,11.81821726,2.694873358,1.749550739,9.50E-06,pubescent bamboo
1.787902633,12.31689324,2.460920508,1.761655642,9.43E-06,pubescent bamboo
2.025038678,13.70025021,2.006721842,1.804971208,9.32E-06,pubescent bamboo
1.499219465,11.36404295,3.266838982,1.700905745,9.56E-06,pubescent bamboo
1.533166452,19.06882402,3.439223476,1.663410529,9.54E-06,pubescent bamboo
1.73456137,14.7785613,3.24855761,1.697900314,9.85E-06,pubescent bamboo
1.726494064,14.08067765,3.019514901,1.713837429,9.78E-06,pubescent bamboo
1.315314046,14.42386364,3.890417254,1.65034597,9.83E-06,pubescent bamboo
1.372146056,10.84478524,3.380096848,1.699718724,9.64E-06,pubescent bamboo
1.031458609,7.735793369,4.363154695,1.641762582,9.69E-06,chinese horse chestnut
1.309885543,16.2931839,4.573472259,1.543189497,9.44E-06,chinese horse chestnut
0.744357857,14.69928065,5.861515411,1.432283475,1.04E-05,chinese horse chestnut
0.669047865,18.04300459,6.217003684,1.389807571,1.04E-05,chinese horse chestnut
0.771491618,16.1473186,5.883416735,1.440560519,1.05E-05,chinese horse chestnut
0.711059847,19.3781839,6.33606929,1.366865356,1.05E-05,chinese horse chestnut
0.830546958,19.10002919,5.859775795,1.459026822,9.95E-06,chinese horse chestnut
0.888609675,17.91359675,6.175412722,1.377987906,1.06E-05,chinese horse chestnut
0.736034184,17.48401793,6.199748657,1.382954695,1.03E-05,chinese horse chestnut
0.779244052,16.17497706,6.194721115,1.410015348,1.01E-05,chinese horse chestnut
0.78004356,14.44451418,5.795677159,1.461037641,1.04E-05,chinese horse chestnut
0.856295202,15.53365513,5.331827784,1.500155973,1.01E-05,chinese horse chestnut
0.890483852,14.64034821,5.142081942,1.515391821,9.65E-06,chinese horse chestnut
0.74665834,13.73002919,5.923673248,1.415751672,1.05E-05,chinese horse chestnut
0.688845715,14.30924312,6.40215135,1.35330996,1.06E-05,chinese horse chestnut
0.76315877,11.46916597,5.914970629,1.456374886,9.98E-06,chinese horse chestnut
0.771136973,22.52953711,6.587021825,1.344863549,1.08E-05,chinese horse chestnut
0.687669108,16.15601751,6.267002302,1.386064655,1.03E-05,chinese horse chestnut
0.777828746,18.51056922,5.990762806,1.413937968,1.04E-05,chinese horse chestnut
0.792743927,13.51939116,5.674300335,1.468437781,9.87E-06,chinese horse chestnut
0.845227881,16.95031485,6.325194536,1.371134746,1.06E-05,chinese horse chestnut
0.83789349,16.73569433,5.828716888,1.430745648,1.03E-05,chinese horse chestnut
0.820914693,16.1368015,5.486043392,1.476244842,1.01E-05,chinese horse chestnut
0.713362644,20.35721643,6.399310742,1.373790954,1.04E-05,chinese horse chestnut
0.785568411,21.92484362,5.843255246,1.437371374,1.01E-05,chinese horse chestnut
0.635351961,14.5337427,6.656600405,1.373158971,1.04E-05,chinese horse chestnut
0.753691066,11.75947456,5.974598337,1.410696473,1.04E-05,chinese horse chestnut
0.743949004,18.0760196,5.925959338,1.42852274,1.01E-05,chinese horse chestnut
0.815769666,10.25833403,5.542144211,1.506872305,1.02E-05,chinese horse chestnut
1.035526574,8.801618015,4.447526224,1.625556695,9.53E-06,chinese horse chestnut
0.522481278,27.6822352,7.058900219,1.285291486,1.06E-05,chinese redbud
0.572147111,23.32170559,6.980939736,1.302275285,1.08E-05,chinese redbud
0.598413639,17.25053586,6.549411765,1.346543524,1.06E-05,chinese redbud
0.59841985,15.88909508,6.522156197,1.360281796,1.03E-05,chinese redbud
0.678750409,27.35504379,6.375930302,1.373135618,1.04E-05,chinese redbud
0.581762535,26.55246247,6.958851022,1.29984915,1.05E-05,chinese redbud
0.666437249,21.16644912,6.340407981,1.36998644,1.02E-05,chinese redbud
0.612739421,14.156103,6.211612013,1.38334554,1.03E-05,chinese redbud
0.547039405,14.52648457,6.975331298,1.311516717,1.02E-05,chinese redbud
0.747593475,31.19908882,6.605406258,1.340924653,9.91E-06,chinese redbud
0.664548884,27.10088198,6.437668206,1.35842138,1.03E-05,chinese redbud
0.620905187,23.59442244,6.755753298,1.325858066,1.02E-05,chinese redbud
0.658844816,15.74678899,6.210478163,1.392394852,1.01E-05,chinese redbud
0.589303135,21.82930567,6.95062977,1.307930957,1.02E-05,chinese redbud
0.699862875,30.0795246,6.559205105,1.339223015,1.01E-05,chinese redbud
0.734930417,49.21963094,6.921666558,1.309820284,1.02E-05,chinese redbud
0.996398936,18.93282736,5.477938546,1.45086919,9.87E-06,chinese redbud
0.493486489,27.58846956,7.352717436,1.262649743,1.06E-05,chinese redbud
0.56943034,36.21423061,7.191038796,1.254689493,1.02E-05,chinese redbud
0.61845235,16.99413053,6.615009767,1.37289198,1.05E-05,chinese redbud
0.603234345,13.53722477,6.169598417,1.383427112,1.03E-05,chinese redbud
0.665629508,11.47841743,5.908614665,1.444246511,1.04E-05,chinese redbud
0.723700788,26.38459967,6.438050382,1.344489911,1.04E-05,chinese redbud
0.64113927,25.6633945,6.585537061,1.31894409,1.03E-05,chinese redbud
0.677528199,24.59704337,6.630230556,1.332151904,1.04E-05,chinese redbud
0.6202392,27.3982548,6.767760004,1.315983032,1.06E-05,chinese redbud
0.690241747,27.69567139,6.431289537,1.332313797,1.08E-05,chinese redbud
