ASM,Contrast,Entropy,Homogeneity,Correlation,Class
0.010557372,94.92436158,12.06804434,0.511447302,1.89E-05,pubescent bamboo
0.012192057,74.8902229,11.94921448,0.551726212,1.82E-05,pubescent bamboo
0.010030924,94.54649711,12.25816824,0.489018177,1.93E-05,pubescent bamboo
0.012667568,69.90899079,11.82832451,0.515380998,1.77E-05,pubescent bamboo
0.010194314,88.75650165,12.14640435,0.493908438,1.89E-05,pubescent bamboo
0.012007026,105.15517,12.02782102,0.452739652,1.76E-05,pubescent bamboo
0.01324786,60.98224632,11.6116328,0.539260019,1.88E-05,pubescent bamboo
0.010797227,65.35558987,11.96787962,0.500225187,1.80E-05,pubescent bamboo
0.009065527,85.07779689,12.18813241,0.482236082,1.83E-05,pubescent bamboo
0.014272709,69.21231027,11.59022438,0.543539213,1.81E-05,pubescent bamboo
0.013832391,64.88151926,11.63598754,0.536966948,1.77E-05,pubescent bamboo
0.007715655,85.6627265,12.60965927,0.504338015,1.78E-05,pubescent bamboo
0.007966244,93.93878497,12.52672276,0.47349073,1.83E-05,pubescent bamboo
0.009455619,68.61507666,12.12886716,0.473724913,1.59E-05,pubescent bamboo
0.016406539,43.53722149,11.24975808,0.611394509,1.75E-05,pubescent bamboo
0.011411487,65.89378659,11.82196846,0.567744305,1.74E-05,pubescent bamboo
0.012891702,67.30897459,11.70396707,0.553702909,1.82E-05,pubescent bamboo
0.008484421,89.76923053,12.42408082,0.457564618,1.75E-05,pubescent bamboo
0.010684005,75.33567192,12.06922794,0.497818776,1.79E-05,pubescent bamboo
0.013692799,42.60493189,11.4991751,0.594196862,1.62E-05,pubescent bamboo
0.011616021,83.5488963,11.92017553,0.478240455,1.70E-05,pubescent bamboo
0.013372387,60.79270551,11.81385546,0.541832227,1.74E-05,pubescent bamboo
0.0143104,68.39599187,11.58596197,0.505369839,1.74E-05,pubescent bamboo
0.010560572,94.90007012,12.21259764,0.485631436,1.75E-05,pubescent bamboo
0.012303007,46.79128463,11.62018876,0.574573547,1.61E-05,pubescent bamboo
0.008678185,83.1116064,12.27236563,0.42457107,1.52E-05,pubescent bamboo
0.008915648,63.31172944,12.38960104,0.554274487,1.86E-05,pubescent bamboo
0.013230552,64.64132843,11.75223683,0.56192606,1.89E-05,pubescent bamboo
0.009039343,55.27017025,12.20357269,0.535396925,1.85E-05,pubescent bamboo
0.012169294,46.44118554,11.71890491,0.566773343,1.88E-05,pubescent bamboo
0.016773159,24.83467598,10.98503956,0.768558214,1.53E-05,chinese horse chestnut
0.011558974,49.39747279,11.70414588,0.527489489,1.64E-05,chinese horse chestnut
0.015309693,32.93501075,11.07701663,0.625081094,1.52E-05,chinese horse chestnut
0.014137499,38.99330106,11.30948685,0.588660995,1.50E-05,chinese horse chestnut
0.012317424,37.83026297,11.46462776,0.607874934,1.61E-05,chinese horse chestnut
0.013680286,40.33107329,11.37828599,0.577937743,1.44E-05,chinese horse chestnut
0.006476201,48.7164703,12.65980118,0.504355621,1.48E-05,chinese horse chestnut
0.01170058,37.8681226,11.62997816,0.570146097,1.46E-05,chinese horse chestnut
0.013269052,37.32410966,11.35836576,0.578839593,1.40E-05,chinese horse chestnut
0.008974201,35.7001176,11.93842085,0.572425148,1.36E-05,chinese horse chestnut
0.011373997,33.67904707,11.71454237,0.596366952,1.67E-05,chinese horse chestnut
0.012033902,41.2901079,11.6070999,0.571678229,1.61E-05,chinese horse chestnut
0.010877252,40.40057541,11.63737604,0.548247527,1.42E-05,chinese horse chestnut
0.02000829,28.15389587,10.69837534,0.669271333,1.48E-05,chinese horse chestnut
0.017080733,27.18780952,10.86075885,0.642668025,1.41E-05,chinese horse chestnut
0.013061512,23.42821262,11.30521293,0.674012397,1.32E-05,chinese horse chestnut
0.009580053,48.00960419,11.99994308,0.537871237,1.54E-05,chinese horse chestnut
0.012942434,34.03295682,11.33557475,0.597379298,1.42E-05,chinese horse chestnut
0.01113702,43.14986865,11.69142547,0.546166369,1.55E-05,chinese horse chestnut
0.01202095,31.64545965,11.46903678,0.608607816,1.36E-05,chinese horse chestnut
0.010782408,34.82333333,11.70990167,0.578103351,1.45E-05,chinese horse chestnut
0.011920506,39.48307705,11.48781393,0.576903204,1.46E-05,chinese horse chestnut
0.012173421,41.47101632,11.44115316,0.573467972,1.53E-05,chinese horse chestnut
0.009838114,44.59122079,11.89776723,0.53920058,1.49E-05,chinese horse chestnut
0.009949392,54.94505537,12.05959969,0.504342515,1.55E-05,chinese horse chestnut
0.010593301,28.83572624,11.66561516,0.629639312,1.40E-05,chinese horse chestnut
0.020686325,22.73735705,10.55588503,0.691937088,1.36E-05,chinese horse chestnut
0.011477149,42.743236,11.62826944,0.557775682,1.46E-05,chinese horse chestnut
0.013509621,23.58107039,11.12994277,0.715516145,1.51E-05,chinese horse chestnut
0.011079713,26.30159502,11.59291825,0.676581014,1.48E-05,chinese horse chestnut
0.012732357,55.1584443,11.53097632,0.554326618,1.50E-05,chinese redbud
0.012184062,46.91357512,11.67491171,0.563066131,1.52E-05,chinese redbud
0.015313664,34.09255846,11.10067412,0.618532737,1.47E-05,chinese redbud
0.015840743,31.54251876,11.02080803,0.647587084,1.47E-05,chinese redbud
0.010093981,62.47625073,12.0167059,0.510718071,1.57E-05,chinese redbud
0.011989527,53.64749975,11.67109733,0.553268323,1.52E-05,chinese redbud
0.012707469,46.30292252,11.54396211,0.547998383,1.52E-05,chinese redbud
0.018850352,29.0630079,10.69177211,0.646126417,1.49E-05,chinese redbud
0.016647253,25.24426625,10.83836131,0.69363529,1.36E-05,chinese redbud
0.008714599,69.92684196,12.36090339,0.475964772,1.42E-05,chinese redbud
0.011822471,60.22884262,11.82137802,0.514356305,1.45E-05,chinese redbud
0.011543201,48.73790201,11.74525783,0.545313169,1.43E-05,chinese redbud
0.015259458,33.91975526,11.19933753,0.606409386,1.43E-05,chinese redbud
0.01297812,42.67998486,11.55718963,0.58188635,1.42E-05,chinese redbud
0.009799062,66.56997734,12.05389366,0.488641207,1.46E-05,chinese redbud
0.006325563,111.4940822,13.04368903,0.410357446,1.55E-05,chinese redbud
0.012810952,48.28562761,11.55181191,0.546840261,1.62E-05,chinese redbud
0.010812019,53.43878167,11.83717779,0.542608301,1.45E-05,chinese redbud
0.010524699,72.24074835,11.95720396,0.482855844,1.40E-05,chinese redbud
0.012948396,35.32331031,11.56946494,0.627896233,1.56E-05,chinese redbud
